Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
GET /api/products/{id},23,9,9,11,14,26,7,26,0.000%,.00347,0.00,0.00
POST /api/auth/login,14,9,9,10,10,12,8,12,0.000%,.00206,0.00,0.00
GET /api/reports/sales,16,2493,2511,2517,2519,2528,2190,2528,6.250%,.00231,0.00,0.00
GET /api/products,10,10,9,10,10,18,8,18,0.000%,.00141,0.00,0.00
GET /api/health,7,3,3,5,5,5,3,5,0.000%,.00102,0.00,0.00
GET /api/orders/{id},18,9,9,11,11,13,8,13,0.000%,.00254,0.00,0.00
GET /api/auth/profile,11,3,3,5,5,7,2,7,27.273%,.00173,0.00,0.00
GET /api/reports/slow,14,3004,3004,3010,3010,3010,3003,3010,0.000%,.00212,0.00,0.00
POST /api/orders,8,11,11,13,13,13,10,13,0.000%,.00122,0.00,0.00
POST /api/reports/generate,6,5003,5002,6003,7006,7006,3004,7006,0.000%,.00094,0.00,0.00
TOTAL,127,887,10,3004,3010,6003,2,7006,3.150%,.01774,0.01,0.00
