Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
GET /api/products/{id},134,12,6,39,5.62,0.000%,.00557,0.00,0.00,395.6
POST /api/auth/login,79,12,8,35,5.18,0.000%,.00328,0.00,0.00,350.0
GET /api/reports/sales,88,2515,2190,2552,36.16,1.136%,.00367,0.01,0.00,1507.5
GET /api/products,57,13,7,39,5.50,0.000%,.00238,0.01,0.00,2314.0
GET /api/health,41,5,2,19,3.75,0.000%,.00172,0.00,0.00,233.0
GET /api/orders/{id},107,12,7,33,5.06,0.000%,.00446,0.00,0.00,354.0
GET /api/auth/profile,66,6,2,14,3.33,19.697%,.00276,0.00,0.00,224.5
GET /api/reports/slow,82,3006,3002,3018,4.48,0.000%,.00344,0.00,0.00,257.0
POST /api/orders,45,14,8,36,5.12,0.000%,.00195,0.00,0.00,228.3
POST /api/reports/generate,36,4894,3002,7014,1286.62,0.000%,.00153,0.00,0.00,275.0
TOTAL,735,884,2,7014,1496.24,1.905%,.03047,0.02,0.00,610.5
